epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,175.403,0.79121,2.65959,0.28057,1.08108,1.04199,1,0.21307,0.62013,0.25366,0.67233,0.14286,0.16507,0.07555,1.86927,8.01065,0.50213,2.85475,2.00659,0.000282912,0.000282912,0.000282912
86,177.514,0.88921,3.25991,0.27173,1.37777,1.1961,1,0.21307,0.62013,0.25366,0.67233,0.14286,0.16507,0.07555,1.86927,8.01065,0.50213,2.85475,2.00659,0.00026945,0.00026945,0.00026945
87,179.674,0.69526,2.58487,0.26048,1.10964,1.02017,1,0.21307,0.62013,0.25366,0.67233,0.14286,0.16507,0.07555,1.86927,8.01065,0.50213,2.85475,2.00659,0.000255592,0.000255592,0.000255592
88,181.81,0.74612,2.02646,0.37014,0.96665,0.93969,1,0.15145,0.59259,0.2332,0.98409,0.14286,0.17303,0.08174,1.86989,8.10912,0.50594,2.85213,2.00194,0.000241338,0.000241338,0.000241338
89,184.109,0.74711,2.45376,0.28389,1.17942,1.02892,1,0.15145,0.59259,0.2332,0.98409,0.14286,0.17303,0.08174,1.86989,8.10912,0.50594,2.85213,2.00194,0.000226688,0.000226688,0.000226688
90,186.098,0.59329,1.63323,0.29258,0.91947,0.89098,1,0.15145,0.59259,0.2332,0.98409,0.14286,0.17303,0.08174,1.86989,8.10912,0.50594,2.85213,2.00194,0.000211642,0.000211642,0.000211642
91,188.107,0.87033,1.71291,0.28294,1.40031,0.84964,1,0.15145,0.59259,0.2332,0.98409,0.14286,0.17303,0.08174,1.86989,8.10912,0.50594,2.85213,2.00194,0.0001962,0.0001962,0.0001962
92,190.269,0.47714,1.45666,0.24154,1.28993,0.80222,1,0.17651,0.59628,0.23919,0.96947,0.14286,0.15553,0.08099,1.8744,8.2499,0.51149,2.8206,1.99755,0.000180362,0.000180362,0.000180362
93,192.425,0.69736,1.4206,0.26893,1.24421,0.92773,1,0.17651,0.59628,0.23919,0.96947,0.14286,0.15553,0.08099,1.8744,8.2499,0.51149,2.8206,1.99755,0.000164128,0.000164128,0.000164128
94,194.484,0.89785,1.43927,0.21809,1.56681,1.01985,1,0.17651,0.59628,0.23919,0.96947,0.14286,0.15553,0.08099,1.8744,8.2499,0.51149,2.8206,1.99755,0.000147498,0.000147498,0.000147498
95,196.512,0.77125,1.46656,0.30873,1.24934,1.02558,1,0.17651,0.59628,0.23919,0.96947,0.14286,0.15553,0.08099,1.8744,8.2499,0.51149,2.8206,1.99755,0.000130472,0.000130472,0.000130472
96,198.792,0.63084,1.48032,0.26214,1.16507,0.98025,1,0.20245,0.60639,0.24166,0.91422,0.14286,0.15598,0.08108,1.88745,8.33531,0.52069,2.77298,2.00304,0.00011305,0.00011305,0.00011305
97,200.917,0.63295,1.07931,0.24041,1.25199,0.85536,1,0.20245,0.60639,0.24166,0.91422,0.14286,0.15598,0.08108,1.88745,8.33531,0.52069,2.77298,2.00304,9.5232e-05,9.5232e-05,9.5232e-05
98,202.976,0.73617,1.13034,0.25544,1.29073,1.06747,1,0.20245,0.60639,0.24166,0.91422,0.14286,0.15598,0.08108,1.88745,8.33531,0.52069,2.77298,2.00304,7.7018e-05,7.7018e-05,7.7018e-05
99,205.045,0.53068,1.22857,0.26911,1.14604,0.79527,1,0.20245,0.60639,0.24166,0.91422,0.14286,0.15598,0.08108,1.88745,8.33531,0.52069,2.77298,2.00304,5.8408e-05,5.8408e-05,5.8408e-05
100,207.188,0.48576,0.96924,0.22313,1.07231,0.80024,0.93952,0.21429,0.57029,0.24077,0.87761,0.14286,0.15648,0.08258,1.90026,8.33196,0.51692,2.71963,2.0317,3.9402e-05,3.9402e-05,3.9402e-05
